;Nome do Hotel;Localizacao;Quartos;Servico;Limpeza;Custo-Benefício;Conforto;Facilidades;Prédio;Café da Manhã;Comida
0;Casa da Boa Vista;83.0;;87.0;86.0;83.0;78.0;78.0;;;
1;Raio de Sol;84.0;;77.0;80.0;77.0;;72.0;72.0;;
2;Pousada da Praia;83.0;;75.0;77.0;74.0;66.0;67.0;76.0;;
3;Aquamar Praia;85.0;73.0;72.0;76.0;73.0;68.0;71.0;71.0;;
4;Jaqueira Home Service;88.0;;87.0;88.0;85.0;84.0;83.0;;;
5;Boa Viagem;88.0;;84.0;83.0;81.0;80.0;80.0;;;
6;Studio Portal dos Navegantes;;;;;;;;;;
7;Pousada do Forte;75.0;77.0;84.0;82.0;77.0;77.0;75.0;;;
8;Ramon;86.0;;83.0;80.0;83.0;75.0;76.0;;;
9;Pousada Praia Boa Viagem;88.0;;86.0;86.0;81.0;80.0;77.0;;;
10;Mi Casa Su Casa;79.0;;83.0;80.0;77.0;78.0;75.0;;;
11;Hospedaria Casa Do Moinho;79.0;;83.0;87.0;81.0;77.0;76.0;;;
12;Bristol Recife Hotel & Convention;84.0;;84.0;89.0;83.0;88.0;85.0;86.0;;
13;Hotel Pousada da Praça;88.0;78.0;82.0;84.0;80.0;80.0;;;;
14;Palanca Negra;74.0;;89.0;88.0;85.0;86.0;86.0;;;
15;Betel Beach Flat;84.0;;84.0;83.0;79.0;80.0;80.0;;;
16;Park Way Home Service;84.0;;81.0;79.0;80.0;77.0;77.0;;;
17;Pousada Recife Inn;73.0;74.0;76.0;75.0;73.0;69.0;71.0;74.0;;
18;Pousada Vitoria;86.0;78.0;84.0;84.0;80.0;79.0;80.0;;;
19;Boa Viagem Apartment;87.0;;84.0;87.0;82.0;81.0;83.0;;;
20;Flat Navegantes;88.0;;86.0;82.0;81.0;81.0;80.0;;;
21;Coqueiral;90.0;77.0;90.0;86.0;85.0;79.0;77.0;78.0;;
22;Estação do Mangue;82.0;80.0;88.0;81.0;84.0;79.0;77.0;;;
23;Apart Boa Viagem Seaview;87.0;;84.0;85.0;82.0;82.0;82.0;;;
24;Sobrado;85.0;74.0;81.0;79.0;75.0;74.0;74.0;77.0;;
