;Nome do Hotel;Localizacao;Quartos;Servico;Limpeza;Custo-Benefício;Conforto;Facilidades;Prédio;Café da Manhã;Comida
0;Albergue Cultural São Salomão;83;;86;84;82;80;78;;;
1;Forum;70;78.0;79;80;77;74;79;73.0;;
2;Motel Devaneios;82;79.0;82;81;78;77;76;;;
