;nome_do_hotel;localizacao;quartos;servico;limpeza;custo-beneficio;conforto;facilidades;predio;cafe_da_manha;comida
0;Vivaz Boutique;85;77;89;85;80;79;76;82;Não avaliadoNão disponível;Não avaliadoNão disponível
1;Nacional Inn Recife;77;71;78;77;74;70;73;71;74;Não avaliadoNão disponível
2;Imperial Suites;88;Não avaliadoNão disponível;86;83;84;81;81;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
3;Novohotell Recife;82;Não avaliadoNão disponível;83;84;78;75;76;77;Não avaliadoNão disponível;Não avaliadoNão disponível
4;Recife Plaza;78;70;74;70;68;65;67;64;76;77
5;Marante Plaza;87;71;78;78;72;73;74;71;74;75
6;Pousada Villa Boa Vista;86;79;87;87;80;83;82;81;Não avaliadoNão disponível;Não avaliadoNão disponível
7;Julieta;89;Não avaliadoNão disponível;86;86;84;78;77;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
8;ibis Recife Boa Viagem;82;80;81;86;80;84;Não avaliadoNão disponível;80;Não avaliadoNão disponível;Não avaliadoNão disponível
9;Saveiro;87;73;83;78;78;71;71;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
10;Veraneio;81;74;78;80;77;71;73;73;Não avaliadoNão disponível;78
11;Enseada Aeroporto;75;Não avaliadoNão disponível;78;87;83;79;78;80;Não avaliadoNão disponível;Não avaliadoNão disponível
12;Navegantes Praia;87;71;79;75;75;69;71;71;Não avaliadoNão disponível;Não avaliadoNão disponível
13;Pousada Casuarinas;85;78;87;86;85;82;81;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
14;Inter Hotel;80;73;84;82;79;75;74;79;Não avaliadoNão disponível;Não avaliadoNão disponível
15;Uzi Praia;86;71;78;79;80;72;74;74;Não avaliadoNão disponível;Não avaliadoNão disponível
16;Mercure Recife Metropolis;80;81;84;83;75;82;81;78;Não avaliadoNão disponível;78
17;LG Inn;85;74;74;79;73;78;77;76;Não avaliadoNão disponível;Não avaliadoNão disponível
18;Kruger Home;86;Não avaliadoNão disponível;88;87;86;86;83;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
19;Arcada Hotel e Bistrô;80;60;68;62;60;55;60;Não avaliadoNão disponível;71;Não avaliadoNão disponível
20;RecifeFlat CDU;84;Não avaliadoNão disponível;87;89;83;84;84;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
21;Imperador Residence;76;Não avaliadoNão disponível;79;72;72;63;63;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
22;Vela Branca Praia Hotel;81;66;75;75;70;70;73;75;Não avaliadoNão disponível;Não avaliadoNão disponível
23;Fundação Cecosne;84;79;85;83;79;76;75;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
24;Guyamar;84;71;80;82;77;77;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
