;nome_do_hotel;localizacao;quartos;servico;limpeza;custo-beneficio;conforto;facilidades;predio;cafe_da_manha;comida
0;Albergue Cultural São Salomão;83;Não avaliadoNão disponível;86;84;82;80;78;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
1;Forum;70;78;79;80;77;74;79;73;Não avaliadoNão disponível;Não avaliadoNão disponível
2;Motel Devaneios;82;79;82;81;78;77;76;Não avaliadoNão disponível;Não avaliadoNão disponível;Não avaliadoNão disponível
