;Nome;localizacao;quartos;facilidades;cafe_da_manha;comida;Academia;Acesso direto à praia;Animais permitidos;Bar na beira da Piscina;Bar no hotel;Cabeleireiro;Centro financeiro;Check-in / out Expresso;Cofre na recepção;Concierge;Elevador;Estacionamento;Guarda-sol;Lavanderia;Loja de conveniência;PC com Internet;Piscina exterior;Piscina interna;Quarto para não-fumantes;Recepção 24 horas;Restaurante;Sala de conferências;Serviço de portaria;Serviço de quarto;Serviço de quarto 24 horas;Spa;Terraço;Transfer de/ para aeroporto;Wi-Fi grátis no lobby;Acesso Wi-Fi nos quartos;Ar condicionado;Banheiro com banheira;Banheiro com ducha;Canais de TV via satélite;Cofre no quarto;Cozinha quitinete;Espelho de aumento;Ferro e tábua de passar;Mesa de trabalho;Secador;Telefone;TV LCD
23; Recife Flat service;82.00;75.00;75.00;72.00;77.05;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;1
24;Aconchego Recife;86.00;69.00;73.00;74.83;77.05;0;0;1;1;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0
25;Vivaz Boutique;85.00;77.00;76.00;74.83;77.05;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0
26;Nacional Inn Recife;77.00;71.00;73.00;74.00;77.05;1;0;0;0;1;0;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;1
27;Imperial Suites;88.00;75.52;81.00;74.83;77.05;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;1;0;0;0;1;0
28;Novohotell Recife;82.00;75.52;76.00;74.83;77.05;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;0;1;0;0;1;1
29;Recife Plaza;78.00;70.00;67.00;76.00;77.00;1;0;1;0;1;0;1;0;0;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;1;0;0;1;1;1;0
30;Marante Plaza;87.00;71.00;74.00;74.00;75.00;1;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;1;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;0;1;0;1;0;1;1;1;0
31;Pousada Villa Boa Vista;86.00;79.00;82.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;1;0;0;1
32;Julieta;89.00;75.52;77.00;74.83;77.05;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
33;ibis Recife Boa Viagem;82.00;80.00;76.75;74.83;77.05;0;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;0
34;Saveiro;87.00;73.00;71.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0
35;Veraneio;81.00;74.00;73.00;74.83;78.00;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;1;1;0
36;Enseada Aeroporto;75.00;75.52;78.00;74.83;77.05;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;1;1;1
37;Navegantes Praia;87.00;71.00;71.00;74.83;77.05;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;1;0
38;Pousada Casuarinas;85.00;78.00;81.00;74.83;77.05;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0
39;Inter Hotel;80.00;73.00;74.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;0
40;Uzi Praia;86.00;71.00;74.00;74.83;77.05;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0
41;Mercure Recife Metropolis;80.00;81.00;81.00;74.83;78.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1;1
42;LG Inn;85.00;74.00;77.00;74.83;77.05;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0
43;Kruger Home;86.00;75.52;83.00;74.83;77.05;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;0;1;1;1;0;0;1;1;0;1;0
44;Arcada Hotel e Bistrô;80.00;60.00;60.00;71.00;77.05;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0
45;RecifeFlat CDU;84.00;75.52;84.00;74.83;77.05;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1
46;Imperador Residence;76.00;75.52;63.00;74.83;77.05;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;0
47;Fundação Cecosne;84.00;79.00;75.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0
48;Guyamar;84.00;71.00;76.75;74.83;77.05;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1
49;Casa da Boa Vista;83.00;75.52;78.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0
50;Raio de Sol;84.00;75.52;72.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0
51;Pousada da Praia;83.00;75.52;67.00;74.83;77.05;0;0;0;0;1;0;1;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;0;0;1;0;1;1
52;Aquamar Praia;85.00;73.00;71.00;74.83;77.05;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
53;Jaqueira Home Service;88.00;75.52;83.00;74.83;77.05;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0
54;Boa Viagem;88.00;75.52;80.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;0;1;1;1;1;0
55;Studio Portal dos Navegantes;84.35;75.52;76.75;74.83;77.05;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;1;0
56;Pousada do Forte;75.00;77.00;75.00;74.83;77.05;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
57;Ramon;86.00;75.52;76.00;74.83;77.05;0;1;0;0;1;0;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0
58;Pousada Praia Boa Viagem;88.00;75.52;77.00;74.83;77.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0
59;Mi Casa Su Casa;79.00;75.52;75.00;74.83;77.05;1;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0
60;Hospedaria Casa Do Moinho;79.00;75.52;76.00;74.83;77.05;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
61;Bristol Recife Hotel & Convention;84.00;75.52;85.00;74.83;77.05;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0
