,Nome,localizacao,quartos,servico,limpeza,custo-beneficio,conforto,facilidades,predio,cafe_da_manha,comida,Academia,Acesso direto à praia,Animais permitidos,Bar na beira da Piscina,Bar no hotel,Cabeleireiro,Centro financeiro,Check-in / out Expresso,Cofre na recepção,Concierge,Elevador,Estacionamento,Guarda-sol,Lavanderia,Loja de conveniência,PC com Internet,Piscina exterior,Piscina interna,Quarto para não-fumantes,Recepção 24 horas,Restaurante,Sala de conferências,Serviço de portaria,Serviço de quarto,Serviço de quarto 24 horas,Spa,Terraço,Transfer de/ para aeroporto,Wi-Fi grátis no lobby,Acesso Wi-Fi nos quartos,Ar condicionado,Banheiro com banheira,Banheiro com ducha,Canais de TV via satélite,Cofre no quarto,Cozinha quitinete,Espelho de aumento,Ferro e tábua de passar,Geladeira,Internet,Mesa de trabalho,Microondas,Secador,Telefone,TV a cabo,TV LCD,Varanda / Terraço,Wi-Fi grátis nos quartos
19,Enseada da Boa Viagem,84,78,81,83.0,80,78,78,81,74,Não avaliadoNão disponível,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1
20,Boa Viagem Praia,85,68,71,70.0,69,65,66,63,75,76,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1
21,Onda Mar,87,73,78,77.0,76,74,75,78,76,79,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
22,Mercure Recife Navegantes,85,75,72,81.0,73,79,79,74,79,79,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
23, Recife Flat service,82,75,79,78.0,78,79,75,75,72,Não avaliadoNão disponível,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1
24,Aconchego Recife,86,69,81,76.0,77,73,73,74,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
25,Vivaz Boutique,85,77,89,85.0,80,79,76,82,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1
26,Nacional Inn Recife,77,71,78,77.0,74,70,73,71,74,Não avaliadoNão disponível,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1
27,Imperial Suites,88,Não avaliadoNão disponível,86,83.0,84,81,81,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1
28,Novohotell Recife,82,Não avaliadoNão disponível,83,84.0,78,75,76,77,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
29,Recife Plaza,78,70,74,70.0,68,65,67,64,76,77,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1
30,Marante Plaza,87,71,78,78.0,72,73,74,71,74,75,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1
31,Pousada Villa Boa Vista,86,79,87,87.0,80,83,82,81,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1
32,Julieta,89,Não avaliadoNão disponível,86,86.0,84,78,77,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
33,ibis Recife Boa Viagem,82,80,81,86.0,80,84,Não avaliadoNão disponível,80,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
34,Saveiro,87,73,83,78.0,78,71,71,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
35,Veraneio,81,74,78,80.0,77,71,73,73,Não avaliadoNão disponível,78,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
36,Enseada Aeroporto,75,Não avaliadoNão disponível,78,87.0,83,79,78,80,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1
37,Navegantes Praia,87,71,79,75.0,75,69,71,71,Não avaliadoNão disponível,Não avaliadoNão disponível,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1
38,Pousada Casuarinas,85,78,87,86.0,85,82,81,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
39,Inter Hotel,80,73,84,82.0,79,75,74,79,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
40,Uzi Praia,86,71,78,79.0,80,72,74,74,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1
41,Mercure Recife Metropolis,80,81,84,83.0,75,82,81,78,Não avaliadoNão disponível,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0
42,LG Inn,85,74,74,79.0,73,78,77,76,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
43,Kruger Home,86,Não avaliadoNão disponível,88,87.0,86,86,83,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1
44,Arcada Hotel e Bistrô,80,60,68,62.0,60,55,60,Não avaliadoNão disponível,71,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1
45,RecifeFlat CDU,84,Não avaliadoNão disponível,87,89.0,83,84,84,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1
46,Imperador Residence,76,Não avaliadoNão disponível,79,72.0,72,63,63,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1
47,Fundação Cecosne,84,79,85,83.0,79,76,75,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
48,Guyamar,84,71,80,82.0,77,77,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
49,Casa da Boa Vista,83,Não avaliadoNão disponível,87,86.0,83.0,78,78,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
50,Raio de Sol,84,Não avaliadoNão disponível,77,80.0,77.0,Não avaliadoNão disponível,72,72,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1
51,Pousada da Praia,83,Não avaliadoNão disponível,75,77.0,74.0,66,67,76,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1
52,Aquamar Praia,85,73,72,76.0,73.0,68,71,71,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0
53,Jaqueira Home Service,88,Não avaliadoNão disponível,87,88.0,85.0,84,83,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
54,Boa Viagem,88,Não avaliadoNão disponível,84,83.0,81.0,80,80,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1
55,Studio Portal dos Navegantes,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,,,,,,,,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
56,Pousada do Forte,75,77,84,82.0,77.0,77,75,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
57,Ramon,86,Não avaliadoNão disponível,83,80.0,83.0,75,76,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
58,Pousada Praia Boa Viagem,88,Não avaliadoNão disponível,86,86.0,81.0,80,77,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
59,Mi Casa Su Casa,79,Não avaliadoNão disponível,83,80.0,77.0,78,75,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1
60,Hospedaria Casa Do Moinho,79,Não avaliadoNão disponível,83,87.0,81.0,77,76,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,Bristol Recife Hotel & Convention,84,Não avaliadoNão disponível,84,89.0,83.0,88,85,86,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
62,Hotel Pousada da Praça,88,78,82,84.0,80.0,80,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1
63,Palanca Negra,74,Não avaliadoNão disponível,89,88.0,85.0,86,86,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
64,Betel Beach Flat,84,Não avaliadoNão disponível,84,83.0,79.0,80,80,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
65,Park Way Home Service,84,Não avaliadoNão disponível,81,79.0,80.0,77,77,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
66,Pousada Recife Inn,73,74,76,75.0,73.0,69,71,74,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1
67,Pousada Vitoria,86,78,84,84.0,80.0,79,80,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1
68,Boa Viagem Apartment,87,Não avaliadoNão disponível,84,87.0,82.0,81,83,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
69,Flat Navegantes,88,Não avaliadoNão disponível,86,82.0,81.0,81,80,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1
70,Coqueiral,90,77,90,86.0,85.0,79,77,78,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
71,Estação do Mangue,82,80,88,81.0,84.0,79,77,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
72,Apart Boa Viagem Seaview,87,Não avaliadoNão disponível,84,85.0,82.0,82,82,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0
73,Sobrado,85,74,81,79.0,75.0,74,74,77,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
75,Albergue Cultural São Salomão,83,Não avaliadoNão disponível,86,84.0,82,80,78,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1
77,Motel Devaneios,82,79,82,81.0,78,77,76,Não avaliadoNão disponível,Não avaliadoNão disponível,Não avaliadoNão disponível,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
